"Time","Contracts","Funding Interval","Funding Rate"
"2024-04-24 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-24 01:00:00","BTCUSD CM Perpetual","8h","0.009861%"
"2024-04-23 17:00:00","BTCUSD CM Perpetual","8h","0.008268%"
"2024-04-23 09:00:00","BTCUSD CM Perpetual","8h","-0.006010%"
"2024-04-23 01:00:00","BTCUSD CM Perpetual","8h","-0.000746%"
"2024-04-22 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-22 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-22 01:00:00","BTCUSD CM Perpetual","8h","0.002592%"
"2024-04-21 17:00:00","BTCUSD CM Perpetual","8h","-0.011689%"
"2024-04-21 09:00:00","BTCUSD CM Perpetual","8h","-0.010171%"
"2024-04-21 01:00:00","BTCUSD CM Perpetual","8h","0.007259%"
"2024-04-20 17:00:00","BTCUSD CM Perpetual","8h","-0.013664%"
"2024-04-20 09:00:00","BTCUSD CM Perpetual","8h","0.009818%"
"2024-04-20 01:00:00","BTCUSD CM Perpetual","8h","-0.005092%"
"2024-04-19 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-19 09:00:00","BTCUSD CM Perpetual","8h","-0.029339%"
"2024-04-19 01:00:00","BTCUSD CM Perpetual","8h","-0.021167%"
"2024-04-18 17:00:00","BTCUSD CM Perpetual","8h","0.004871%"
"2024-04-18 09:00:00","BTCUSD CM Perpetual","8h","-0.007752%"
"2024-04-18 01:00:00","BTCUSD CM Perpetual","8h","-0.003180%"
"2024-04-17 17:00:00","BTCUSD CM Perpetual","8h","0.002065%"
"2024-04-17 09:00:00","BTCUSD CM Perpetual","8h","0.006052%"
"2024-04-17 01:00:00","BTCUSD CM Perpetual","8h","-0.008097%"
"2024-04-16 17:00:00","BTCUSD CM Perpetual","8h","0.008576%"
"2024-04-16 09:00:00","BTCUSD CM Perpetual","8h","-0.007435%"
"2024-04-16 01:00:00","BTCUSD CM Perpetual","8h","0.000273%"
"2024-04-15 17:00:00","BTCUSD CM Perpetual","8h","-0.013370%"
"2024-04-15 09:00:00","BTCUSD CM Perpetual","8h","-0.002938%"
"2024-04-15 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-14 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-14 09:00:00","BTCUSD CM Perpetual","8h","-0.029523%"
"2024-04-14 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-13 17:00:00","BTCUSD CM Perpetual","8h","-0.001594%"
"2024-04-13 09:00:00","BTCUSD CM Perpetual","8h","-0.017997%"
"2024-04-13 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-12 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-12 09:00:00","BTCUSD CM Perpetual","8h","-0.006531%"
"2024-04-12 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-11 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-11 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-11 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-10 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-10 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-10 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-09 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-09 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-09 01:00:00","BTCUSD CM Perpetual","8h","0.036453%"
"2024-04-08 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-08 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-08 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-07 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-07 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-07 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-06 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-06 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-06 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-05 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-05 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-05 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-04 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-04 09:00:00","BTCUSD CM Perpetual","8h","0.001210%"
"2024-04-04 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-03 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-03 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-03 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-02 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-02 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-02 01:00:00","BTCUSD CM Perpetual","8h","0.015160%"
"2024-04-01 17:00:00","BTCUSD CM Perpetual","8h","0.011585%"
"2024-04-01 09:00:00","BTCUSD CM Perpetual","8h","0.071823%"
"2024-04-01 01:00:00","BTCUSD CM Perpetual","8h","0.084788%"
"2024-03-31 17:00:00","BTCUSD CM Perpetual","8h","0.068038%"
"2024-03-31 09:00:00","BTCUSD CM Perpetual","8h","0.014525%"
"2024-03-31 01:00:00","BTCUSD CM Perpetual","8h","0.046856%"
"2024-03-30 17:00:00","BTCUSD CM Perpetual","8h","0.043781%"
"2024-03-30 09:00:00","BTCUSD CM Perpetual","8h","0.021962%"
"2024-03-30 01:00:00","BTCUSD CM Perpetual","8h","0.033233%"
"2024-03-29 17:00:00","BTCUSD CM Perpetual","8h","0.027830%"
"2024-03-29 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-29 01:00:00","BTCUSD CM Perpetual","8h","0.057297%"
"2024-03-28 17:00:00","BTCUSD CM Perpetual","8h","0.034749%"
"2024-03-28 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-28 01:00:00","BTCUSD CM Perpetual","8h","0.063059%"
"2024-03-27 17:00:00","BTCUSD CM Perpetual","8h","0.052617%"
"2024-03-27 09:00:00","BTCUSD CM Perpetual","8h","0.040304%"
"2024-03-27 01:00:00","BTCUSD CM Perpetual","8h","0.025417%"
"2024-03-26 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-26 09:00:00","BTCUSD CM Perpetual","8h","0.061956%"
"2024-03-26 01:00:00","BTCUSD CM Perpetual","8h","0.025431%"
"2024-03-25 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-25 09:00:00","BTCUSD CM Perpetual","8h","0.036728%"
"2024-03-25 01:00:00","BTCUSD CM Perpetual","8h","0.044465%"
"2024-03-24 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-24 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-24 01:00:00","BTCUSD CM Perpetual","8h","0.021069%"
"2024-03-23 17:00:00","BTCUSD CM Perpetual","8h","0.018774%"
"2024-03-23 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-23 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-22 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-22 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-22 01:00:00","BTCUSD CM Perpetual","8h","0.020652%"
"2024-03-21 17:00:00","BTCUSD CM Perpetual","8h","0.015460%"
"2024-03-21 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-21 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-20 17:00:00","BTCUSD CM Perpetual","8h","0.023260%"
"2024-03-20 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-20 01:00:00","BTCUSD CM Perpetual","8h","0.037318%"
"2024-03-19 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-03-19 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
